dataset,model_label,k,recall
coco,$UniIR_{\mathrm{Image}}$,41,97.04
coco,$UniIR_{\mathrm{Image}}$,42,97.22
coco,$UniIR_{\mathrm{Image}}$,43,97.26
coco,$UniIR_{\mathrm{Image}}$,44,97.28
coco,$UniIR_{\mathrm{Image}}$,45,97.36
coco,$UniIR_{\mathrm{Image}}$,46,97.42
coco,$UniIR_{\mathrm{Image}}$,47,97.5
coco,$UniIR_{\mathrm{Image}}$,48,97.6
coco,$UniIR_{\mathrm{Image}}$,49,97.72
coco,$UniIR_{\mathrm{Image}}$,50,97.76
coco,$UniIR_{\mathrm{Image}}$,51,97.86
coco,$UniIR_{\mathrm{Image}}$,52,97.94
coco,$UniIR_{\mathrm{Image}}$,53,98.06
coco,$UniIR_{\mathrm{Image}}$,54,98.11999999999999
coco,$UniIR_{\mathrm{Image}}$,55,98.14
coco,$UniIR_{\mathrm{Image}}$,56,98.18
coco,$UniIR_{\mathrm{Image}}$,57,98.3
coco,$UniIR_{\mathrm{Image}}$,58,98.32
coco,$UniIR_{\mathrm{Image}}$,59,98.4
coco,$UniIR_{\mathrm{Image}}$,60,98.42
coco,$UniIR_{\mathrm{Image}}$,61,98.52
coco,$UniIR_{\mathrm{Image}}$,62,98.54
coco,$UniIR_{\mathrm{Image}}$,63,98.61999999999999
coco,$UniIR_{\mathrm{Image}}$,64,98.66
coco,$UniIR_{\mathrm{Image}}$,65,98.72
coco,$UniIR_{\mathrm{Image}}$,66,98.74000000000001
coco,$UniIR_{\mathrm{Image}}$,67,98.76
coco,$UniIR_{\mathrm{Image}}$,68,98.8
